No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,Percent_Survival_atend,CrossType,Survival
1,1,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
2,2,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
3,3,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
4,4,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
5,5,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
6,6,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
7,7,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
8,8,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
9,9,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
10,10,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
11,11,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
12,12,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
13,13,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
14,14,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
15,15,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
16,16,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
17,17,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
18,18,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
19,19,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
20,20,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,0
21,21,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,0
22,22,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,0
23,23,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,0
24,24,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,0
25,1,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
26,2,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
27,3,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
28,4,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
29,5,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
30,6,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
31,7,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
32,8,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
33,9,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
34,10,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
35,11,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
36,12,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
37,13,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
38,14,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
39,15,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
40,16,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
41,17,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
42,18,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
43,19,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
44,20,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
45,21,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,1
46,22,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,0
47,23,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCrossGret,0
48,1,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
49,2,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
50,3,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
51,4,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
52,5,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
53,6,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
54,7,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
55,8,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
56,9,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
57,10,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
58,11,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
59,12,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
60,13,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
61,14,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
62,15,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
63,16,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
64,17,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
65,18,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
66,19,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
67,20,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
68,21,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
69,22,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,1
70,23,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,0
71,24,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCrossGret,0
72,1,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
73,2,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
74,3,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
75,4,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
76,5,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
77,6,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
78,7,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
79,8,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
80,9,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
81,10,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
82,11,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
83,12,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
84,13,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
85,14,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
86,15,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,1
87,16,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
88,17,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
89,18,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
90,19,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
91,20,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
92,21,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
93,22,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
94,23,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
95,24,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
96,25,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCrossGret,0
97,1,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
98,2,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
99,3,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
100,4,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
101,5,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
102,6,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
103,7,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
104,8,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
105,9,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
106,10,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
107,11,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
108,12,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
109,13,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
110,14,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,1
111,15,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,0
112,16,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,0
113,17,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,0
114,18,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,0
115,19,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,0
116,20,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,0
117,21,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,0
118,22,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCrossGret,0
