No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,ReefMom,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,Percent_Survival_atend,CrossType,Survival,Region_cross
673,11,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
674,12,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
675,13,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
676,14,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
677,15,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
678,16,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
679,17,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
680,18,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
681,19,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
682,20,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
683,21,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,1,NA
684,22,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,0,NA
685,23,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,E,23,21,2,91.30434783,BulkCross,0,NA
686,1,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
687,2,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
688,3,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
689,4,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
690,5,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
691,6,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
692,7,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
693,8,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
694,9,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
695,10,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
696,11,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
697,12,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
698,13,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
699,14,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
700,15,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
701,16,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
702,17,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
703,18,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
704,19,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
705,20,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
706,21,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,1,NA
707,22,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,0,NA
708,23,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,0,NA
709,24,2,17.12.20,2020,10:00,Ambient,27.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,129,F,24,21,3,87.5,BulkCross,0,NA
710,1,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
711,2,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
712,3,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
713,4,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
714,5,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
715,6,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
716,7,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
717,8,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
718,9,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
719,10,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
720,11,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
721,12,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
722,13,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
723,14,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
724,15,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
725,16,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
726,17,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
727,18,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
728,19,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
729,20,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,D,20,20,0,100,BulkCross,1,NA
730,1,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
731,2,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
732,3,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
733,4,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
734,5,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
735,6,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
736,7,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
737,8,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
738,9,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
739,10,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
740,11,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
741,12,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
742,13,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
743,14,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
744,15,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
745,16,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
746,17,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,1,NA
747,18,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,0,NA
748,19,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,0,NA
749,20,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,0,NA
750,21,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,0,NA
751,22,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,0,NA
752,23,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,0,NA
753,24,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,0,NA
754,25,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,E,25,17,8,68,BulkCross,0,NA
755,1,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
756,2,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
757,3,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
758,4,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
759,5,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
760,6,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
761,7,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
762,8,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
763,9,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
764,10,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
765,11,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
766,12,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
767,13,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
768,14,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,1,NA
769,15,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,0,NA
770,16,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,0,NA
771,17,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,0,NA
772,18,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,0,NA
773,19,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,0,NA
774,20,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,0,NA
775,21,2,17.12.20,2020,10:00,Hot,35.5C,25,JewellBulkxSwitzerBulk,JewellBulkxSwitzerBulk,G.F6.1rep1,JewellBulk,JewellBulk,SwitzerBulk,G.ret,130,F,21,14,7,66.66666667,BulkCross,0,NA
776,1,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
777,2,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
778,3,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
779,4,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
780,5,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
781,6,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
782,7,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
783,8,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
784,9,2,17.12.20,2020,10:00,Ambient,27.5C,29,Jewell8xPalms5,JewellxPalms,T.F53,Jewell8,Jewell8,Palms5,A.ten,70,D,20,18,2,90,IndivCross,1,NorthxCentral
