No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,CrossType,Percent_Survival_atend,Cumulative.hrs,BroadMom,BroadDad,crosstype,crosstype2,Survival
1,20,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,1,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,2,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,3,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,4,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,5,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,6,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,7,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,8,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,9,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,10,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,11,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,12,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,13,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,14,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,15,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
2,16,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
