No,Timepoint,Tank,Temp,Treatment,Cassette,Plate.Slide,Area,Red,Green,Blue,Hue,Saturation,Brightness,SINGLE.CLUMP,Clump.IndNo,Live.Coral.ID.Number,MatchID,SamplesID,Species,Crosstype,Mom,Dad,Family,Genetic,Cone,popcross,Grey_av,Grey_light,Grey_lum,IndID
19,T0,1,HOT,SS,601,1447,3.1477,178.9671,149.1715,111.1031,23.5453,97.1829,178.9671,C,5,4,4,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,146.4139,145.0351,153.922656,1.601.1447.4
25,T6,1,HOT,SS,601,1447,2.3066,184.832,158.3378,112.0164,26.8609,100.7093,184.832,C,4,4,4,2,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,151.7287333,148.4242,161.190706,1.601.1447.4
18,T0,1,HOT,SS,601,1447,0.3856,184.8198,156.7796,118.5612,24.0728,91.4883,184.8198,S,NA,5,5,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,153.3868667,151.6905,160.987636,1.601.1447.5
22,T6,1,HOT,SS,601,1447,0.6607,166.1417,144.8104,97.9935,28.9106,104.6142,166.1417,S,NA,3,5,4,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,136.3152,132.0676,146.059931,1.601.1447.5
16,T0,1,HOT,SS,601,1447,0.4522,183.9562,153.3782,118.3002,22.3662,91.4833,183.9562,S,NA,6,6,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,151.8782,151.1282,158.69302,1.601.1447.6
23,T6,1,HOT,SS,601,1447,0.6629,186.8294,165.4112,123.9174,27.7561,85.5866,186.8294,S,NA,5,6,6,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,158.7193333,155.3734,167.272342,1.601.1447.6
17,T0,1,HOT,SS,601,1447,0.6488,182.7725,155.7736,115.3479,25.1892,94.0827,182.7725,S,NA,7,7,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,151.298,149.0602,159.426443,1.601.1447.7
20,T0,1,HOT,SS,601,1447,1.4903,181.906,152.0959,113.836,23.6547,95.8811,181.906,C,2,8,8,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,149.2793,147.871,156.830341,1.601.1447.8
27,T6,1,HOT,SS,601,1447,1.3819,188.7639,164.7676,121.0638,27.4148,91.4625,188.7639,C,2,6,8,5,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,158.1984333,154.91385,167.159072,1.601.1447.8
34,T0,1,HOT,SS,601,1556,2.083,167.0277,133.796,94.6615,22.6437,111.014,167.0277,C,3,1,1,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,131.8284,130.8446,139.460715,1.601.1556.1
41,T6,1,HOT,SS,601,1556,1.5616,174.4466,143.3274,93.7369,25.8591,118.448,174.4466,C,3,1,1,4,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,137.1703,134.09175,147.208205,1.601.1556.1
31,T0,1,HOT,SS,601,1556,0.8804,176.238,144.3415,106.2552,23.0188,102.793,176.238,S,NA,10,10,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,142.2782333,141.2466,149.720957,1.601.1556.10
50,T6,1,HOT,SS,601,1556,0.7457,189.0314,161.0975,115.7494,26.1159,98.9773,189.0314,S,NA,11,10,8,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,155.2927667,152.3904,164.489379,1.601.1556.10
33,T0,1,HOT,SS,601,1556,0.6031,183.8287,152.6233,112.7731,23.5564,98.3558,183.8287,S,NA,11,11,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,149.7417,148.3009,157.601398,1.601.1556.11
51,T6,1,HOT,SS,601,1556,0.4141,188.6913,160.253,113.4217,26.4174,101.827,188.6913,S,NA,12,11,6,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,154.122,151.0565,163.633047,1.601.1556.11
39,T0,1,HOT,SS,601,1556,0.704,177.14,149.61,110.67,24.654,96.27,177.139,S,NA,12,12,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,145.8066667,143.905,153.5856,1.601.1556.12
48,T6,1,HOT,SS,601,1556,0.5545,181.1838,153.4701,103.2948,27.2403,109.7208,181.1838,S,NA,8,12,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,145.9829,142.2393,156.264927,1.601.1556.12
28,T0,1,HOT,SS,601,1556,0.8235,171.1049,141.3306,102.5042,23.6511,102.2742,171.1049,C,2,2,2,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,138.3132333,136.80455,145.991986,1.601.1556.2
43,T6,1,HOT,SS,601,1556,0.4886,167.1769,140.5954,91.3464,27.6455,116.182,167.1769,C,2,3,2,1,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,133.0395667,129.26165,143.15246,1.601.1556.2
36,T0,1,HOT,SS,601,1556,3.7706,162.9164,125.1119,87.002,21.0898,120.199,162.9164,C,8,3,3,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,125.0101,124.9592,132.261161,1.601.1556.3
47,T6,1,HOT,SS,601,1556,2.9356,179.6064,145.6426,99.4938,24.3697,114.5665,179.6064,C,8,2,3,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,141.5809333,139.5501,150.755372,1.601.1556.3
32,T0,1,HOT,SS,601,1556,0.678,167.0595,139.0802,100.3834,24.2379,102.0903,167.0595,S,NA,4,4,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,135.5077,133.72145,143.217342,1.601.1556.4
44,T6,1,HOT,SS,601,1556,0.6575,169.81,139.4841,89.351,26.3127,121.0728,169.81,S,NA,4,4,2,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,132.8817,129.5805,143.067229,1.601.1556.4
35,T0,1,HOT,SS,601,1556,0.521,172.718,142.8901,100.8784,24.5632,106.5425,172.718,S,NA,5,5,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,138.8288333,136.7982,147.217183,1.601.1556.5
46,T6,1,HOT,SS,601,1556,0.3503,173.5725,141.5509,87.6351,26.4687,126.7986,173.5725,S,NA,5,5,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,134.2528333,130.6038,145.226642,1.601.1556.5
29,T0,1,HOT,SS,601,1556,2.1935,174.9471,146.1274,106.7889,24.2359,99.8524,174.9471,C,2,6,6,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,142.6211333,140.868,150.446075,1.601.1556.6
